case,implementation,version,algorithm,seconds,objective,gradient_norm,feasibility,optimum,fn,gradient,termination,device,dtype,transfer_seconds,seed,peak_rss_bytes,baseline_rss_bytes,peak_run_rss_bytes,memory_method,memory_status
procrustes,riemtorch,0.6.0,lbfgs,0.38,3.74912991821877,8.18715898663439e-07,2.86649984649748e-16,3.74912991821864,15,8,converged_gradient,cpu,float64,0,2,336625664,327155712,336625664,"process RSS sampled every 20 ms; includes interpreter/runtime, may miss brief peaks",sampled
procrustes,Pymanopt,2.2.1,Riemannian CG PR+ (default retraction),0.0014179589999999687,3.749129918218752,7.61525660700934e-07,8.930009827784312e-16,3.749129918218644,41,17,"Terminated - min grad norm reached after 17 iterations, 0.00 seconds.",cpu,float64,0,2,57376768,57376768,57376768,"process RSS sampled every 20 ms; includes interpreter/runtime, may miss brief peaks",sampled
completion,riemtorch,0.6.0,lbfgs,1.06,6.59458006418558e-13,8.82113755955289e-07,0,0,56,26,converged_gradient,cpu,float64,0,2,342310912,339460096,342310912,"process RSS sampled every 20 ms; includes interpreter/runtime, may miss brief peaks",sampled
completion,Pymanopt,2.2.1,Riemannian CG PR+ (default retraction),0.011548082999999987,1.4405811741423098e-12,7.140759338314788e-07,0.0,0,100,37,"Terminated - min grad norm reached after 37 iterations, 0.01 seconds.",cpu,float64,0,2,57638912,57638912,57638912,"process RSS sampled every 20 ms; includes interpreter/runtime, may miss brief peaks",sampled
spd,riemtorch,0.6.0,lbfgs,0.271,4.22934215787437e-31,9.18873053048876e-16,1.58231126132105e-16,0,3,2,converged_gradient,cpu,float64,0,2,350896128,334610432,350896128,"process RSS sampled every 20 ms; includes interpreter/runtime, may miss brief peaks",sampled
spd,SciPy,1.13.1,BFGS in log-Euclidean coordinates,0.0003298339999999733,1.925929944387236e-33,6.206335383118183e-17,0.0,0,3,3,Optimization terminated successfully.,cpu,float64,0,2,57393152,57393152,57393152,"process RSS sampled every 20 ms; includes interpreter/runtime, may miss brief peaks",sampled
robust,riemtorch,0.6.0,levenberg_marquardt,0.324,1.79010520010633,7.42366206582714e-08,0,NA,9,5,converged_gradient,cpu,float64,0,2,346423296,330317824,346423296,"process RSS sampled every 20 ms; includes interpreter/runtime, may miss brief peaks",sampled
robust,SciPy,1.13.1,trust-region reflective robust least squares,0.004471499999999962,1.7901052001063258,8.96917464302345e-16,0.0,nan,5,4,`gtol` termination condition is satisfied.,cpu,float64,0,2,57540608,57540608,57540608,"process RSS sampled every 20 ms; includes interpreter/runtime, may miss brief peaks",sampled
hyperbolic,riemtorch,0.6.0,lbfgs,0.412,1.6076029396572e-13,5.6747447856445e-07,0,0,7,4,converged_gradient,cpu,float64,0,2,370884608,356450304,370884608,"process RSS sampled every 20 ms; includes interpreter/runtime, may miss brief peaks",sampled
hyperbolic,SciPy,1.13.1,BFGS in global Poincare coordinates; independent distance formula,0.004339499999999996,4.3076653355455985e-14,2.9416276233284043e-07,0.0,0,121,0,Optimization terminated successfully.,cpu,float64,0,2,57475072,57475072,57475072,"process RSS sampled every 20 ms; includes interpreter/runtime, may miss brief peaks",sampled
phase,riemtorch,0.6.0,lbfgs,0.996,-12.5,4.34613767785247e-08,0,-12.5,35,17,converged_gradient,cpu,complex128,0,2,341065728,328974336,341065728,"process RSS sampled every 20 ms; includes interpreter/runtime, may miss brief peaks",sampled
phase,Pymanopt,2.2.1,Riemannian CG PR+ (default retraction),0.000689625000000027,-12.49999999999992,8.842497933924448e-07,0.0,-12.5,69,26,"Terminated - min grad norm reached after 26 iterations, 0.00 seconds.",cpu,complex128,0,2,57294848,,,"process RSS sampled every 20 ms; includes interpreter/runtime, may miss brief peaks",short_run_unobserved
constrained,riemtorch,0.6.0,augmented_lagrangian,1.51,1.01999940877161,9.47049042197236e-08,1.66169330166266e-07,1.02,71,71,converged_kkt,cpu,float64,0,2,362774528,350601216,362774528,"process RSS sampled every 20 ms; includes interpreter/runtime, may miss brief peaks",sampled
constrained,SciPy,1.13.1,SLSQP with analytic derivatives,0.0009171250000000186,1.0200000000000014,0.0,1.3322676295501878e-15,1.02,2,2,Optimization terminated successfully,cpu,float64,0,2,57262080,57262080,57262080,"process RSS sampled every 20 ms; includes interpreter/runtime, may miss brief peaks",sampled
eigen,riemtorch,0.6.0,lbfgs,0.893,-4.34345393960329,2.08772626046734e-07,2.22044604925031e-16,-4.34345393960329,33,17,converged_gradient,cpu,float64,0,3,376143872,358318080,376143872,"process RSS sampled every 20 ms; includes interpreter/runtime, may miss brief peaks",sampled
eigen,Pymanopt,2.2.1,Riemannian CG PR+ (default retraction),0.001221374999999969,-4.343453939603281,3.597180556401102e-07,0.0,-4.343453939603294,55,22,"Terminated - min grad norm reached after 22 iterations, 0.00 seconds.",cpu,float64,0,3,56328192,,,"process RSS sampled every 20 ms; includes interpreter/runtime, may miss brief peaks",short_run_unobserved
procrustes,riemtorch,0.6.0,lbfgs,0.462,3.20850172171858,3.88734188828774e-07,7.98693862245848e-17,3.20850172171855,20,10,converged_gradient,cpu,float64,0,3,353566720,338083840,353566720,"process RSS sampled every 20 ms; includes interpreter/runtime, may miss brief peaks",sampled
