"problem","method","seconds","objective_gap","gradient_norm","constraint_residual","matched_accuracy","iterations","fn_evaluations","gradient_evaluations","termination"
"sphere","steepest_descent",0.363,3.5527136788005e-15,2.20014710624439e-07,0,TRUE,36,148,37,"converged_gradient"
"sphere","conjugate_gradient",0.566,3.5527136788005e-15,2.18074186499217e-07,1.11022302462516e-16,TRUE,38,154,39,"converged_gradient"
"sphere","lbfgs",0.106,1.77635683940025e-15,6.36008205424604e-13,0,TRUE,6,15,7,"converged_gradient"
"procrustes","steepest_descent",1.313,1.07469588783715e-13,9.02965156841741e-07,1.14038513445919e-15,TRUE,114,340,115,"converged_gradient"
"procrustes","conjugate_gradient",1.952,1.25233157177718e-13,9.66265802543096e-07,5.1293606866157e-16,TRUE,112,335,113,"converged_gradient"
"procrustes","lbfgs",0.489000000000001,8.88178419700125e-16,5.47477060611364e-08,4.92289309057702e-16,TRUE,14,29,15,"converged_gradient"
"spd_log_coordinates","steepest_descent",0.0470000000000006,1.15555796663234e-33,4.80740671595891e-17,0,TRUE,1,3,2,"converged_gradient"
"spd_log_coordinates","conjugate_gradient",0.0380000000000003,1.15555796663234e-33,4.80740671595891e-17,0,TRUE,1,3,2,"converged_gradient"
"spd_log_coordinates","lbfgs",0.0359999999999996,1.15555796663234e-33,4.80740671595891e-17,0,TRUE,1,3,2,"converged_gradient"
